split,model,band_total_row_diff_target,changed_rows,swaps,fixes,breaks,net_gain_rows,flip_precision,anchor_accuracy,candidate_accuracy,delta_accuracy
val_random_uniform_seed1506,ridge_fast,300,54,27,37,17,20,0.6851851851851852,0.760252050410082,0.76125225045009,0.0010002000400080036
val_random_uniform_seed1506,ridge_fast,500,54,27,37,17,20,0.6851851851851852,0.760252050410082,0.76125225045009,0.0010002000400080036
val_random_uniform_seed1506,ridge_fast,850,54,27,37,17,20,0.6851851851851852,0.760252050410082,0.76125225045009,0.0010002000400080036
val_random_uniform_seed1607,ridge_fast,50,50,25,27,23,4,0.54,0.7638527705541108,0.7640528105621124,0.0002000400080015563
val_random_uniform_seed1607,ridge_fast,100,72,36,38,34,4,0.5277777777777778,0.7638527705541108,0.7640528105621124,0.0002000400080015563
val_random_uniform_seed1607,ridge_fast,150,72,36,38,34,4,0.5277777777777778,0.7638527705541108,0.7640528105621124,0.0002000400080015563
val_random_uniform_seed1607,ridge_fast,300,72,36,38,34,4,0.5277777777777778,0.7638527705541108,0.7640528105621124,0.0002000400080015563
val_random_uniform_seed1607,ridge_fast,500,72,36,38,34,4,0.5277777777777778,0.7638527705541108,0.7640528105621124,0.0002000400080015563
val_random_uniform_seed1607,ridge_fast,850,72,36,38,34,4,0.5277777777777778,0.7638527705541108,0.7640528105621124,0.0002000400080015563
val_random_uniform_seed1708,ridge_fast,50,50,25,32,18,14,0.64,0.7573514702940588,0.7580516103220644,0.0007001400280055581
val_random_uniform_seed1708,ridge_fast,100,62,31,40,22,18,0.6451612903225806,0.7573514702940588,0.758251650330066,0.0009001800360072254
val_random_uniform_seed1708,ridge_fast,150,62,31,40,22,18,0.6451612903225806,0.7573514702940588,0.758251650330066,0.0009001800360072254
val_random_uniform_seed1708,ridge_fast,300,62,31,40,22,18,0.6451612903225806,0.7573514702940588,0.758251650330066,0.0009001800360072254
val_random_uniform_seed1708,ridge_fast,500,62,31,40,22,18,0.6451612903225806,0.7573514702940588,0.758251650330066,0.0009001800360072254
val_random_uniform_seed1708,ridge_fast,850,62,31,40,22,18,0.6451612903225806,0.7573514702940588,0.758251650330066,0.0009001800360072254
val_random_uniform_seed1809,ridge_fast,50,50,25,26,24,2,0.52,0.7541508301660332,0.754250850170034,0.00010002000400077815
val_random_uniform_seed1809,ridge_fast,100,74,37,38,36,2,0.5135135135135135,0.7541508301660332,0.754250850170034,0.00010002000400077815
val_random_uniform_seed1809,ridge_fast,150,74,37,38,36,2,0.5135135135135135,0.7541508301660332,0.754250850170034,0.00010002000400077815
val_random_uniform_seed1809,ridge_fast,300,74,37,38,36,2,0.5135135135135135,0.7541508301660332,0.754250850170034,0.00010002000400077815
val_random_uniform_seed1809,ridge_fast,500,74,37,38,36,2,0.5135135135135135,0.7541508301660332,0.754250850170034,0.00010002000400077815
val_random_uniform_seed1809,ridge_fast,850,74,37,38,36,2,0.5135135135135135,0.7541508301660332,0.754250850170034,0.00010002000400077815
val_random_uniform_seed1910,ridge_fast,50,50,25,31,19,12,0.62,0.7556511302260452,0.75625125025005,0.0006001200240047799
val_random_uniform_seed1910,ridge_fast,100,68,34,39,29,10,0.5735294117647058,0.7556511302260452,0.7561512302460492,0.0005001000200040018
val_random_uniform_seed1910,ridge_fast,150,68,34,39,29,10,0.5735294117647058,0.7556511302260452,0.7561512302460492,0.0005001000200040018
val_random_uniform_seed1910,ridge_fast,300,68,34,39,29,10,0.5735294117647058,0.7556511302260452,0.7561512302460492,0.0005001000200040018
val_random_uniform_seed1910,ridge_fast,500,68,34,39,29,10,0.5735294117647058,0.7556511302260452,0.7561512302460492,0.0005001000200040018
val_random_uniform_seed1910,ridge_fast,850,68,34,39,29,10,0.5735294117647058,0.7556511302260452,0.7561512302460492,0.0005001000200040018
val_random_uniform_seed2011,ridge_fast,50,50,25,30,20,10,0.6,0.7651530306061213,0.7656531306261253,0.0005001000200040018
val_random_uniform_seed2011,ridge_fast,100,84,42,48,36,12,0.5714285714285714,0.7651530306061213,0.7657531506301261,0.0006001200240047799
val_random_uniform_seed2011,ridge_fast,150,84,42,48,36,12,0.5714285714285714,0.7651530306061213,0.7657531506301261,0.0006001200240047799
val_random_uniform_seed2011,ridge_fast,300,84,42,48,36,12,0.5714285714285714,0.7651530306061213,0.7657531506301261,0.0006001200240047799
